,Final 1C (Real),Total 2Âª Convocatoria (Real),Id
0,3.65,6.99,29852
1,1.47,0,31435
2,9.52,9.52,31664
3,4.9,7.59,26749
4,6.38,6.38,28372
5,3.68,6.49,21222
6,6.44,6.44,21874
7,3.8,3.59,18064
8,3.9,6.72,31430
9,1.79,0,31045
10,6.58,6.58,32184
11,7.33,7.33,28089
12,4.9,7.57,32640
13,4.18,6.15,29236
14,7.37,7.37,28275
15,2.65,0,28092
16,2.55,5.98,28251
17,6.76,6.76,26745
18,4.9,5.89,22914
19,7.52,7.52,31342
20,0,0,28322
21,8.73,8.73,31162
22,0,0,29906
23,8.77,8.77,31599
24,6.37,6.37,29963
25,7.02,7.02,31671
26,2.73,0,28259
27,4.9,4.9,32616
28,2.02,2.3,22548
29,7.62,7.62,10990
30,4.9,7.16,28334
31,0,0,28386
32,6.46,6.46,32556
33,4.9,6.74,27992
34,7.9,7.9,22513
35,4.9,4.9,29843
36,4.24,4.9,39453
37,4.9,7.87,28993
38,4.9,7.66,31333
39,4.9,8.11,31387
40,4.9,4.9,31494
41,7,7,31618
42,4.9,4.9,31270
43,4.9,7.54,28330
44,4.9,7.09,31530
45,-,-,21366
46,4.9,7.12,32450
47,4.9,7.13,31731
48,7.96,7.96,27707
49,1.66,0,28001
50,7.08,7.08,28407
51,4.9,6.47,28143
52,7.28,7.28,29919
53,9.07,9.07,31514
54,4.9,7,18065
55,2.9,3.42,31562
56,8.96,8.96,39443
57,0,0,17604
58,4.9,6.62,29989
